Year,District,Population_Affected,Villages_Damaged,Crop_Area_Damaged_Hectares,Human_Lives_Lost,Relief_Camps_Opened
2015,Nalbari,1485603,227,22910.87,34,162
2015,Kokrajhar,391682,573,404.61,21,229
2015,Barpeta,1382187,56,31917.35,32,78
2015,Chirang,386420,145,2820.22,39,220
2015,Golaghat,1099672,430,13905.16,34,74
2015,Darrang,363000,534,20150.9,7,288
2015,Nagaon,1455337,99,39071.4,6,164
2015,Charaideo,1323916,572,27566.97,31,1
2015,Sonitpur,466834,299,46757.68,1,237
2015,Tinsukia,61150,563,49178.11,10,236
2015,Dhemaji,715794,329,15004.35,16,17
2015,Cachar,1004672,257,26537.72,12,105
2015,Kamrup,1102727,293,34307.5,22,2
2015,Udalguri,158588,43,11273.41,40,117
2015,Karbi Anglong,547566,128,13839.08,38,81
2015,Jorhat,640208,600,29022.36,42,15
2015,Bongaigaon,799946,524,32287.09,42,226
2015,Karimganj,799563,136,6321.12,19,226
2015,Hojai,957956,171,19486.75,29,21
2015,Kamrup Metropolitan,518780,89,17231,41,68
2015,Hailakandi,651490,98,46260.39,40,195
2015,Baksa,442947,147,30733.78,14,269
2015,Dhubri,1099291,80,23926.1,14,56
2015,Goalpara,153463,39,40140.39,13,202
2015,Dima Hasao,1211771,499,44077.84,12,299
2015,Dibrugarh,559630,16,22297.02,24,82
2015,Biswanath,727322,402,11495.21,30,114
2015,Morigaon,1492746,119,47762.84,13,252
2015,Lakhimpur,583484,549,45483.87,46,73
2015,West Karbi Anglong,909322,84,24144.57,11,192
2015,South Salmara-Mankachar,1474165,215,44082.46,48,91
2015,Majuli,647281,508,5076.82,5,164
2015,Sivasagar,1395535,432,10488.52,11,15
2016,Kokrajhar,1064121,293,44534.79,36,186
2016,Karbi Anglong,1113531,315,43212.06,40,220
2016,Kamrup,551513,72,6493.06,4,221
2016,Bongaigaon,408481,19,41318.02,26,186
2016,Tinsukia,1177804,464,47512.8,40,191
2016,Charaideo,152268,457,21143.39,23,75
2016,Sonitpur,906262,410,7279.11,14,39
2016,Karimganj,191752,165,2141.39,10,236
2016,Lakhimpur,1470629,520,6844.51,9,205
2016,Morigaon,1278971,23,5282.85,47,100
2016,Hailakandi,1289250,146,42972.82,29,19
2016,Kamrup Metropolitan,1309221,32,47245.33,45,184
2016,Nalbari,708872,531,27843,6,120
2016,Dhemaji,1470603,162,42260.23,44,90
2016,West Karbi Anglong,932060,591,2190.13,32,152
2016,Biswanath,865253,160,19362.63,31,41
2016,Hojai,14746,306,19738.7,43,295
2016,Udalguri,1116356,300,11498.49,50,199
2016,Dhubri,1267621,282,14053.39,41,71
2016,Dibrugarh,504614,311,34312.7,34,181
2016,Sivasagar,1451171,77,28700.14,3,271
2016,Dima Hasao,810744,385,44821.92,12,296
2016,South Salmara-Mankachar,1217927,454,11955.47,3,161
2016,Jorhat,562279,204,22809.31,42,13
2016,Cachar,268707,302,48398.23,23,125
2016,Darrang,313245,384,33634.34,0,230
2016,Majuli,509243,277,26432.73,47,162
2016,Nagaon,462155,251,10009.53,10,30
2016,Baksa,91466,60,21736.62,14,202
2016,Golaghat,1249198,344,10208.23,27,238
2017,Sonitpur,5638,426,20061.12,5,42
2017,Nalbari,1098031,573,46374.23,38,54
2017,Dibrugarh,1430679,304,43386.51,50,172
2017,Sivasagar,850617,356,26606.5,5,113
2017,Goalpara,1133257,293,29121.25,40,59
2017,Dima Hasao,489743,136,10192.63,25,34
2017,West Karbi Anglong,302769,292,31270.79,27,266
2017,Tinsukia,476632,483,47513.95,27,59
2017,Morigaon,305819,583,21662.35,31,55
2017,Majuli,263037,46,31324.08,15,204
2017,Karimganj,47799,11,37273.06,5,155
2017,Kokrajhar,345363,121,12437.29,41,166
2017,Lakhimpur,457859,328,34949.17,21,116
2017,Hailakandi,24011,350,12138.51,33,299
2017,Baksa,490981,123,29926.73,41,190
2017,Bongaigaon,410289,413,4944.59,50,142
2017,Hojai,938395,335,45792.99,15,285
2017,Nagaon,834755,97,25290.65,16,9
2017,Dhemaji,118749,393,33777.65,24,129
2017,Cachar,951280,30,22164.78,24,229
2017,Barpeta,775179,409,16741.42,4,246
2017,Kamrup,1234783,353,19716.53,1,165
2017,Kamrup Metropolitan,19812,277,49519.32,26,38
2018,Cachar,745656,563,12620.12,18,249
2018,Bongaigaon,1052847,308,21112.16,49,108
2018,Dhubri,718201,118,872.16,1,254
2018,Sonitpur,1110792,58,30426.04,21,84
2018,Karbi Anglong,1056525,303,20265.03,43,100
2018,Jorhat,1072211,20,6068.28,37,177
2018,Sivasagar,68321,394,13166.56,8,161
2018,Hailakandi,170670,257,38069.66,28,28
2018,Lakhimpur,420967,188,15830.48,22,227
2018,Golaghat,1173434,155,47811.7,29,201
2018,Goalpara,311533,57,6908.88,10,222
2018,Majuli,163666,565,17603.35,31,61
2018,Kokrajhar,1499067,446,33343.78,32,184
2018,Hojai,4863,568,45206.82,32,94
2018,Chirang,1388740,150,21061.01,0,224
2018,Dibrugarh,732804,531,28217.79,32,97
2018,Udalguri,549742,544,34553.79,48,68
2018,Karimganj,147282,496,41201.5,46,74
2018,West Karbi Anglong,603908,522,25096.58,26,268
2018,Dima Hasao,230376,283,452.73,29,187
2018,Nalbari,310267,445,7257.99,16,102
2018,Biswanath,884892,225,2121.08,31,187
2018,Baksa,69344,342,49353.52,33,4
2019,Chirang,470291,469,29767.85,19,285
2019,Kamrup Metropolitan,325555,166,13508.23,4,50
2019,Lakhimpur,302339,222,45079.44,36,188
2019,Darrang,281043,344,11469.26,0,251
2019,Nalbari,796319,474,6881.77,15,171
2019,Nagaon,793209,129,8493.57,2,66
2019,Barpeta,24737,298,32371.48,5,122
2019,Dhemaji,1283920,247,26069.03,15,112
2019,Sivasagar,1383357,328,3925.82,45,116
2019,Biswanath,481335,230,26573.55,12,86
2019,Dhubri,511508,92,2918.83,44,43
2020,Jorhat,966944,453,29025.33,33,29
2020,Sivasagar,175844,12,3003.56,31,42
2020,Nalbari,1320586,182,11756.22,37,188
2020,Bongaigaon,721233,422,11967.5,33,34
2020,Udalguri,297221,183,12126.04,50,184
2020,Cachar,140016,159,5561.13,26,298
2020,Chirang,764701,430,12451.36,47,71
2020,Tinsukia,586610,495,4024.16,35,68
2020,Dhemaji,873593,370,26340.05,3,233
2020,Nagaon,1249619,466,7334.27,32,125
2020,West Karbi Anglong,729880,154,8419.88,17,288
2020,Kamrup Metropolitan,611801,272,34952.23,41,296
2020,Kokrajhar,204021,66,31272.56,37,134
2020,Dibrugarh,115953,202,30108.98,28,54
2020,Karimganj,826664,477,33632.17,18,204
2020,Lakhimpur,636819,147,3010.86,15,229
2020,Biswanath,914329,533,42246.37,7,114
2020,Baksa,843792,503,9898.76,7,0
2020,South Salmara-Mankachar,1084118,413,27676.98,41,189
2020,Hojai,240165,14,39052.11,49,145
2020,Majuli,159913,484,44402.81,23,23
2020,Dhubri,471337,508,9152.44,26,106
2020,Goalpara,429747,240,31151.02,28,278
2020,Darrang,425094,165,35462.96,26,149
2020,Dima Hasao,1360294,502,2911.97,21,201
2020,Morigaon,1091825,241,27325.8,30,233
2020,Sonitpur,862622,420,40523.43,8,66
2020,Barpeta,1395581,306,39502.22,30,79
2020,Hailakandi,35066,188,10135.63,35,169
2021,Dibrugarh,870206,454,32216.58,46,103
2021,Karimganj,1450828,123,19340.97,3,45
2021,Majuli,1291207,391,27607.56,42,296
2021,Kokrajhar,68450,38,36456.71,20,211
2021,Hailakandi,516140,218,36427.16,29,197
2021,Karbi Anglong,377742,73,28715.26,30,97
2021,Hojai,920387,115,44908.41,27,149
2021,South Salmara-Mankachar,478142,98,28982.34,24,185
2021,Dima Hasao,52174,234,26185.79,5,12
2021,Cachar,957895,488,12392.17,14,250
2021,Dhemaji,1002664,174,15547.3,7,196
2021,West Karbi Anglong,832116,189,12160.72,19,7
2022,Majuli,1101016,124,22011.65,17,220
2022,Bongaigaon,94711,586,4289.91,48,89
2022,Dhubri,216638,312,11498.43,24,147
2022,Hojai,1284089,414,13642.84,5,34
2022,Tinsukia,1124931,206,35156.87,49,78
2022,Lakhimpur,78971,426,36693.04,23,50
2022,Darrang,806891,177,24156.12,48,288
2022,Jorhat,1406627,114,44313.32,35,31
2022,Biswanath,466010,169,35965.52,0,120
2022,Charaideo,662738,59,43226.62,38,15
2022,Dibrugarh,1137912,455,44141.55,49,199
2023,Jorhat,1349055,279,41133.62,32,17
2023,Karbi Anglong,325463,197,3064.3,48,243
2023,Dhemaji,56507,143,40264.54,32,180
2023,Darrang,558893,134,31498.98,22,272
2023,Dima Hasao,1023356,269,1465.29,25,288
2023,Dibrugarh,1028325,499,26074,9,26
2023,Goalpara,1210081,82,10346.5,11,271
2023,Golaghat,1064408,217,32233.06,3,240
2023,Nalbari,324571,397,17498.01,49,118
2023,Chirang,949005,212,23757.74,21,112
2023,Biswanath,696413,381,32457.63,46,84
2023,West Karbi Anglong,1389077,21,37353.17,13,168
2023,Kamrup,99493,436,38755.25,1,266
2023,Kokrajhar,1118653,287,36125.87,26,39
2023,Udalguri,249554,336,49319.14,49,280
2023,Lakhimpur,448938,43,19971.11,41,154
2023,Karimganj,878942,546,5511.21,25,76
2023,Majuli,240560,183,34796.72,43,297
2023,Charaideo,1255632,482,22177.46,12,275
2023,Nagaon,836174,264,9442.58,13,176
2023,Tinsukia,755771,555,18567.23,18,227
2023,Baksa,221650,349,1232.95,23,107
2023,Barpeta,1019179,454,34042.24,26,218
2023,Morigaon,493841,585,4915.76,13,161
2023,Bongaigaon,966463,263,20598.87,19,146
2023,Sivasagar,236466,446,45969.41,45,46
2023,Sonitpur,1377046,142,36193.34,14,53
2023,Cachar,1432904,529,47505.73,27,279
2023,Hailakandi,983490,484,42889.49,35,217
2023,Hojai,914470,427,21074.36,2,202
2023,Kamrup Metropolitan,328940,585,26013.35,16,29
2023,South Salmara-Mankachar,233862,460,17155.99,38,196
2024,South Salmara-Mankachar,504053,508,13301.23,10,140
2024,Kamrup Metropolitan,756852,230,33780.6,15,297
2024,Dima Hasao,1400910,587,9769.38,8,224
2024,Barpeta,1122526,409,23209.01,13,161
2024,Karbi Anglong,538539,476,48707.48,4,33
2024,Nagaon,581552,444,5869.86,10,298
2024,Goalpara,1498043,236,17352.72,17,111
2024,Hojai,209010,283,22530.35,35,232
2024,Biswanath,941141,553,30497.89,42,44
2024,Majuli,395213,139,44178.86,33,45
2024,Charaideo,1016629,350,40313.8,12,256
2024,Sivasagar,1354778,174,32493.36,3,1
2024,Karimganj,520281,390,45541.7,4,85
2024,Dhubri,1244533,74,39925.89,39,70
2024,Udalguri,840226,252,20441.2,2,10
2024,Nalbari,579362,108,28737.16,0,214
2024,Jorhat,1444664,370,44929.74,33,247
2024,Kamrup,1189161,354,9427.95,20,174
2024,Bongaigaon,696509,347,19908.7,8,294
2024,Dibrugarh,58642,129,6943.1,17,191
2024,Tinsukia,210389,229,49218.52,32,74
2024,Baksa,806023,117,43774.17,23,224
2024,Golaghat,427104,206,42368.6,27,7
2024,Kokrajhar,1434456,107,1470.32,8,209
2024,Cachar,1252862,534,24243.07,9,252
2024,Hailakandi,1389616,192,29314.33,37,284
2024,West Karbi Anglong,777772,390,9950.24,9,175
2024,Chirang,1071950,194,11540.46,6,203
2024,Morigaon,1250355,402,38800.7,0,6
2024,Sonitpur,935731,282,34957.74,22,86
2025,Jorhat,1143668,590,31199.16,21,194
2025,West Karbi Anglong,485841,514,25768.82,44,299
2025,South Salmara-Mankachar,29884,520,19522.36,40,297
2025,Goalpara,1278029,376,48694.51,45,81
2025,Dhubri,330130,162,990.16,19,248
2025,Sivasagar,1081938,519,34749.45,48,94
2025,Majuli,1165141,322,44280.95,2,39
2025,Morigaon,1258439,21,22154.48,1,177
2025,Tinsukia,602963,487,27016.82,42,225
2025,Hailakandi,1067602,559,29039.18,35,77
2025,Barpeta,693422,183,28689.12,32,195
2025,Baksa,1156883,141,25655.42,20,211
2025,Hojai,700726,435,21277.81,48,148
2025,Sonitpur,1043368,74,38569.87,4,146
